هنا ; Here
1. عندي الكثير من الشغل اليوم ; I have a lot of work today.
2. هل تحب شغلك؟ ; Do you like your job?
3. يجب أن تضع جهدًا في الشغل ; You should put effort into your work.

تشغل ; Operate
1. كيف يمكن تشغيل هذا الجهاز؟ ; How can this device be operated?
2. يجب أن تتعلم كيفية تشغيل السيارة ; You should learn how to operate the car.
3. هل يمكنك تشغيل الفيديو؟ ; Can you play the video?

مكيف ; Air conditioner
1. المكيف لا يعمل ; The air conditioner is not working.
2. في الصيف، يجب أن نستخدم المكيف ; In the summer, we should use the air conditioner.
3. المكيف يجعل الغرفة باردة ; The air conditioner makes the room cool.

المكيف ; The air conditioner
1. المكيف ليس باردًا كما ينبغي ; The air conditioner is not as cool as it should be.
2. قم بتشغيل المكيف ; Turn on the air conditioner.
3. المكيف ضروري في الصيف ; The air conditioner is necessary in the summer.

هقدر ; I can
1. هقدر أن أساعدك ; I can help you.
2. هقدر أن أفعل ذلك ; I can do that.
3. هقدر أن أذهب غدًا ; I can go tomorrow.

دفع ; Pay
1. يجب دفع الفاتورة الآن ; The bill must be paid now.
2. هل يمكنني دفع ببطاقة الائتمان؟ ; Can I pay with a credit card?
3. أنا سأدفع نقدًا ; I will pay in cash.

أدفع ; I pay
1. أدفع دائمًا بالكاش ; I always pay in cash.
2. سأدفع لك في وقت لاحق ; I will pay you later.
3. هل تفضل أن أدفع الآن؟ ; Would you like me to pay now?

فيزا ; Visa
1. هل تقبلون بطاقات الفيزا؟ ; Do you accept Visa cards?
2. يمكنك دفع بواسطة فيزا ; You can pay with Visa.
3. سأستخدم بطاقة الفيزا للحجز ; I will use my Visa card for the reservation.

بفيزا ; With Visa
1. يمكنك الدفع بفيزا ; You can pay with Visa.
2. هل تريد دفع بفيزا أم نقدًا؟ ; Do you want to pay with Visa or cash?
3. لا يقبلون دفع بفيزا هنا ; They don't accept Visa payments here.

فا ; So
1. الأمور ليست فا سهلة ; Things are not so easy.
2. أنا فا سعيد برؤيتك ; I am so happy to see you.
3. فا، ماذا سنفعل اليوم؟ ; So, what are we going to do today?

فاهم ; Understand
1. هل أنت فاهم ما أقول؟ ; Do you understand what I'm saying?
2. أنا متأكد أنهم فاهمين الوضع ; I'm sure they understand the situation.
3. أنا لا أفهم الرياضيات جيدًا ; I don't understand math well.

عرب ; Arabs
1. العرب شعب كبير ; Arabs are a large nation.
2. اللغة العربية هي لغتهم ; Arabic is their language.
3. يجب أن نحترم ثقافة العرب ; We should respect Arab culture.

عربيتي ; My car
1. هذه عربيتي ; This is my car.
2. لدي عربيتي الخاصة ; I have my own car.
3. عربيتي تحتاج إلى صيانة ; My car needs maintenance.

سيئ ; Bad
1. هذا الفيلم سيئ جدًا ; This movie is very bad.
2. لا تفعل شيئًا سيئًا ; Don't do anything bad.
3. سمعت عنه سمعة سيئة ; I heard he has a bad reputation.

سيئة ; Bad (feminine)
1. هذه الكتب سيئة ; These books are bad.
2. أنا لست سيئة ; I am not bad.
3. لا تتصرفي بطريقة سيئة ; Don't behave in a bad way.

جدا ; Very
1. هذا الطعام لذيذ جداً ; This food is very delicious.
2. الجو حار جداً اليوم ; It's very hot today.
3. هذا الفيلم ممتع جداً ; This movie is very enjoyable.

جداً ; Very (with tanween)
1. هذا الكتاب مفيد جدًاً ; This book is very useful.
2. العمل الشاق مجهد جدًاً ; Hard work is very tiring.
3. الجو بارد جدًاً في الشتاء ; The weather is very cold in winter.

عفوا ; Excuse me
1. عفوا، هل يمكنك مساعدتي؟ ; Excuse me, can you help me?
2. عفوا، أنا طالب جديد هنا ; Excuse me, I am a new student here.
3. عفوا، هل يمكنك تكرار ذلك؟ ; Excuse me, can you repeat that?

عفوًا ; Excuse me (with tanween)
1. عفوًا على الإزعاج ; Excuse me for the inconvenience.
2. عفوًا، هل يمكنك إعطائي القائمة؟ ; Excuse me, can you give me the menu?
3. عفوًا، هل يمكنك أن تشرح لي كيفية الوصول إلى هناك؟ ; Excuse me, can you explain how to get there?

تعلم ; Learn
1. يجب أن نتعلم من خلال الخبرة ; We should learn from experience.
2. هل تحب تعلم اللغات؟ ; Do you like learning languages?
3. تعلمت الكثير من هذا الكتاب ; I learned a lot from this book.

بتعلم ; Learning
1. أنا بتعلم العزف على الجيتار ; I am learning to play the guitar.
2. هل أنت مهتم بالبرمجة وبتعلم لغات البرمجة؟ ; Are you interested in programming and learning programming languages?
3. بتعلم اللغة الإنجليزية منذ فترة طويلة ; I have been learning English for a long time.

العربية ; Arabic language
1. اللغة العربية جميلة ; The Arabic language is beautiful.
2. أنا أتحدث اللغة العربية ; I speak the Arabic language.
3. اللغة العربية تحتاج إلى ممارسة ; Arabic language needs practice.

كرر ; Repeat
1. من فضلك، كرر الجملة ; Please repeat the sentence.
2. لم أسمع جيدًا، هل يمكنك أن تكرر؟ ; I didn't hear well, can you repeat?
3. كرر الأمر مرة أخرى ; Repeat the process again.

تكررها ; Repeat it
1. تكررها من فضلك ; Repeat it, please.
2. هل يمكنك تكررها لي؟ ; Can you repeat it for me?
3. يجب أن تتأكد من تكررها بعناية ; You should make sure to repeat it carefully.

تكلم ; Speak
1. يجب أن تتعلم كيف تتكلم باللغة الإنجليزية ; You should learn how to speak English.
2. هل تستطيع أن تتكلم بلغة أخرى؟ ; Can you speak another language?
3. تكلم ببطء من فضلك ; Speak slowly, please.

تتكلم ; You speak
1. تتكلم اللغة الإنجليزية بطلاقة ; You speak English fluently.
2. هل تتكلم العربية؟ ; Do you speak Arabic?
3. تتكلم الإسبانية أيضًا؟ ; Do you speak Spanish as well?

بطء ; Slow
1. السيارة تسير ببطء ; The car is moving slowly.
2. يجب أن تتحرك ببطء حول المنعطف ; You should move slowly around the corner.
3. التصفح على الإنترنت ببطء ; Browsing the internet is slow.

ببطء ; Slowly
1. اقرأ النص ببطء ; Read the text slowly.
2. يجب أن تأكل ببطء لتستمتع بالطعام ; You should eat slowly to enjoy the meal.
3. سارت السيارة ببطء نحو الهدف ; The car moved slowly toward the destination.

ضل ; Stay
1. ضل هنا لبضع دقائق ; Stay here for a few minutes.
2. أريد أن أضل هناك لفترة أطول ; I want to stay there for a longer period.
3. يجب أن تضل هادئًا ; You should stay calm.

فضلك ; Please
1. هل يمكنك مساعدتي، من فضلك؟ ; Can you help me, please?
2. أعطني ماء، من فضلك ; Give me some water, please.
3. تفضل بالجلوس ; Please have a seat.

قول ; Say
1. قول لي ماذا تفكر ; Say what you're thinking.
2. هل يمكنك أن تقول لي الحقيقة؟ ; Can you tell me the truth?
3. لا تقول كل ما تفكر به ; Don't say everything you think.

تقولها ; You say it
1. هل يمكنك تقولها مرة أخرى؟ ; Can you say it again?
2. تقولها بشكل جيد ; You say it well.
3. يجب أن تتأكد من تقولها بوضوح ; You should make sure you say it clearly.

إنجليز ; English
1. هل تتحدث الإنجليزية؟ ; Do you speak English?
2. الإنجليزية هي لغة عالمية ; English is a global language.
3. أنا أتعلم الإنجليزية ; I am learning English.

بالإنجليزية ; In English
1. يمكنك التحدث بالإنجليزية؟ ; Can you speak in English?
2. هل يمكنك شرح ذلك بالإنجليزية؟ ; Can you explain that in English?
3. الرجاء الكتابة بالإنجليزية ; Please write in English.

إنجليزي ; English (adjective)
1. هذا كتاب إنجليزي جديد ; This is a new English book.
2. أنا أتعلم اللغة الإنجليزية ; I am learning the English language.
3. لدي صديق إنجليزي ; I have an English friend.

إيه ; What
1. إيه هذا؟ ; What is this?
2. إيه الجديد؟ ; What's new?
3. إيه أخبارك؟ ; What's your news? (How are you?)

بالعربية ; In Arabic
1. هل يمكنك شرحه لي بالعربية؟ ; Can you explain it to me in Arabic?
2. الكتاب متاح بالعربية والإنجليزية ; The book is available in Arabic and English.
3. يمكنك الكتابة بالعربية؟ ; Can you write in Arabic?

حد ; Someone
1. حد يبحث عنك ; Someone is looking for you.
2. أنا لا أعرف حد هنا ; I don't know anyone here.
3. حد يمكن أن يساعدنا ; Someone can help us.

واحد ; One
1. لدي واحد فقط ; I have only one.
2. هل لديك واحد؟ ; Do you have one?
3. واحد من أصدقائي ذهب إلى مصر ; One of my friends went to Egypt.

نفس ; Same
1. هذا هو نفس الكتاب ; This is the same book.
2. نحن نفس الفصل ; We are in the same class.
3. هل لديك نفس الهوايات؟ ; Do you have the same hobbies?

شيء ; Thing
1. هل نسيت شيئًا؟ ; Did you forget something?
2. لا يمكنني أن أرى أي شيء ; I can't see anything.
3. هذا شيء جديد ; This is something new.

الشيء ; The thing
1. الشيء الوحيد الذي يمكنني فعله ; The only thing I can do.
2. أين هو الشيء الذي طلبته؟ ; Where is the thing you asked for?
3. هل تعلم ما هو الشيء الذي يجب القيام به؟ ; Do you know what the thing that needs to be done is?

يا ; O
1. يا الله، ما هذا؟ ; O God, what is this?
2. يا أصدقائي، هيا نذهب ; O my friends, let's go.
3. يا للحظة الرائعة! ; O, what a wonderful moment!

ليا ; To me
1. هذا يعني الكثير ليا ; This means a lot to me.
2. أنا ذاهب لأكتب رسالة ليا ; I'm going to write a letter to me.
3. سأقوم بذلك من أجلي، ليا ; I will do it for me, to me.

باتي ; Vegetarian
1. أنا باتي، لا آكل لحم ; I'm vegetarian, I don't eat meat.
2. هل لديك خيارات باتي في القائمة؟ ; Do you have vegetarian options on the menu?
3. أنا وصديقي باتيين ; My friend and I are vegetarians.

نباتي ; Vegetarian (noun)
1. هل تعرف أي نباتيين؟ ; Do you know any vegetarians?
2. النباتيين يتجنبون تناول منتجات الحيوانات ; Vegetarians avoid consuming animal products.
3. لدي صديق نباتي ; I have a vegetarian friend.

عند ; At
1. أنا عند البيت ; I am at home.
2. نلتقي عند المطعم ; Let's meet at the restaurant.
3. أين أنت عند الآن؟ ; Where are you at right now?

عندك ; You have
1. عندك سيارة؟ ; Do you have a car?
2. عندك أخوة؟ ; Do you have siblings?
3. عندك أصدقاء كثيرون ; You have many friends.

قائم ; List
1. أريد أن أطلب من القائمة ; I want to order from the list.
2. هل يمكنك إعطائي القائمة؟ ; Can you give me the list?
3. القائمة تحتوي على العديد من الخيارات ; The list contains many options.

القائمة ; The list
1. هذه هي القائمة ; This is the list.
2. القائمة تحتوي على الأطعمة المفضلة لي ; The list contains my favorite foods.
3. يجب أن تقرأ القائمة جيدًا ; You should read the list carefully.

حار ; Hot
1. الطعام حار جداً ; The food is very hot.
2. الطقس حار في الصيف ; The weather is hot in the summer.
3. الشاي حار ولذيذ ; The tea is hot and delicious.

حارة ; Hot (feminine)
1. الشوربة حارة ; The soup is hot.
2. هذه الحقيبة حارة ; This bag is hot.
3. لا تلمسي القطعة، إنها حارة ; Don't touch the piece, it's hot.

تير ; Tire
1. عليك أن تغير الإطار القديم ; You need to change the old tire.
2. لديك إطار احتياطي؟ ; Do you have a spare tire?
3. الإطارات الجديدة تجعل السيارة تسير بسلاسة ; New tires make the car drive smoothly.

كتير ; A lot
1. أحب هذا المكان كتير ; I love this place a lot.
2. هل تعرف أنهم يحبونك كتير؟ ; Do you know they love you a lot?
3. كنت مشغولًا كتير اليوم ; I was very busy today.

إتن ; Two
1. لدي إتنين منهم ; I have two of them.
2. هل يمكنني الحصول على إتنين؟ ; Can I get two?
3. إتنين من أصدقائي ذهبوا إلى البحر ; Two of my friends went to the beach.

إتنين ; Two (with tanween)
1. لدي إتنين منهم ; I have two of them.
2. هل يمكنني الحصول على إتنين؟ ; Can I get two?
3. إتنين من أصدقائي ذهبوا إلى البحر ; Two of my friends went to the beach.

قهو ; Coffee
1. أحب أن أشرب قهوة في الصباح ; I love to drink coffee in the morning.
2. هل تفضل القهوة الساخنة أم الباردة؟ ; Do you prefer hot coffee or cold coffee?
3. هذا المكان مشهور بقهوته اللذيذة ; This place is famous for its delicious coffee.

قهوة ; Coffee (feminine)
1. القهوة لذيذة جدًا ; Coffee is very delicious.
2. هل تشرب القهوة بالحليب؟ ; Do you drink coffee with milk?
3. أنا بحاجة إلى كوب قهوة ; I need a cup of coffee.

ترك ; Leave
1. يجب عليك أن تترك هذا المكان ; You should leave this place.
2. هل يمكنك ترك تعليق؟ ; Can you leave a comment?
3. سأترك العمل مبكرًا اليوم ; I will leave work early today.

تركية ; Turkish (feminine)
1. الطعام التركي لذيذ ; Turkish food is delicious.
2. أنا أحب الشاي التركي ; I love Turkish tea.
3. هل تعرف كيفية تحضير القهوة التركية؟ ; Do you know how to make Turkish coffee?

خفيف ; Light
1. هذا الطعام خفيف على المعدة ; This food is light on the stomach.
2. الثوب خفيف ومناسب للصيف ; The dress is light and suitable for summer.
3. الشمس تشع بضوء خفيف ; The sun is shining with a light.

خفيفة ; Light (feminine)
1. هذه الحقيبة خفيفة ; This bag is light.
2. العشاء كان وجبة خفيفة ; Dinner was a light meal.
3. الأمطار كانت خفيفة هذا الصباح ; The rain was light this morning.

شو ; What
1. شو في البرنامج؟ ; What's on the program?
2. شو أفضل كتاب قرأته؟ ; What's the best book you've read?
3. شو بتحب تعمل اليوم؟ ; What do you want to do today?

شوية ; A little
1. أحتاج شوية وقت ; I need a little time.
2. هل يمكنك أن تمنحني شوية من وقتك؟ ; Can you give me a little of your time?
3. أنا فقط أحتاج شوية مساعدة ; I just need a little help.

سكر ; Sugar
1. هل تضيف السكر إلى القهوة؟ ; Do you add sugar to your coffee?
2. الكعكة تحتوي على الكثير من السكر ; The cake contains a lot of sugar.
3. هل لديك سكر بني أم سكر أبيض؟ ; Do you have brown sugar or white sugar?

بطاق ; Card
1. أين بطاقة الائتمان؟ ; Where is the credit card?
2. يمكنك دفع ببطاقة الخصم ; You can pay with a debit card.
3. لدي بطاقة هوية ; I have an ID card.

بالبطاقة ; By card
1. هل يمكنني الدفع بالبطاقة؟ ; Can I pay by card?
2. نحن نقبل الدفع بالبطاقة ; We accept payment by card.
3. أفضل الدفع بالبطاقة ; I prefer to pay by card.

فاتور ; Bill
1. أين الفاتورة؟ ; Where is the bill?
2. هل يمكنك أن تطلب الفاتورة؟ ; Can you ask for the bill?
3. الفاتورة تشمل الطعام والشراب ; The bill includes the food and drinks.

الفاتورة ; The bill
1. هذه هي الفاتورة ; This is the bill.
2. من فضلك، قدم الفاتورة ; Please bring the bill.
3. الفاتورة مكلفة قليلاً ; The bill is a bit expensive.

كل ; Eat
1. يجب أن نأكل الفاكهة يوميًا ; We should eat fruit every day.
2. هل تحب أن تأكل اللحم؟ ; Do you like to eat meat?
3. أحب أن أأكل البيتزا ; I love to eat pizza.

أكل ; Food
1. هل لديك أي نوع من الأكل؟ ; Do you have any type of food?
2. الأكل هنا لذيذ جدًا ; The food here is very delicious.
3. يجب أن نأكل طعام صحي ; We should eat healthy food.

(فحص ; (Check
1. هل يمكنك دفع الفحص؟ ; Can you pay the check?
2. الفحص يشمل الطعام والشراب ; The check includes the food and drinks.
3. من فضلك، قدم الفحص ; Please bring the check.

أمان) ; (Safety)
1. يجب على الأطفال أن يتعلموا قواعد الأمان ; Children should learn safety rules.
2. الأمان هو الأهم ; Safety is the most important thing.
3. لديك وسائل الأمان اللازمة؟ ; Do you have the necessary safety equipment?

حاج ; Thing
1. هذا الحاج مهم ; This thing is important.
2. هل لديك حاجة تود أن تشاركها؟ ; Do you have a thing you want to share?
3. الحاج الوحيد الذي يحتاجه الأمر هو الصبر ; The only thing needed is patience.

حاجة ; Thing (feminine)
1. لدي حاجة واحدة فقط ; I have only one thing.
2. هل لديك حاجة تحتاج إليها؟ ; Do you have a thing you need?
3. الحاجة الوحيدة التي تحتاجها هي الحب ; The only thing you need is love.

مام ; Mom
1. مام، أنا جائع ; Mom, I'm hungry.
2. مام، هل يمكنك مساعدتي؟ ; Mom, can you help me?
3. مام، أنا أحبك ; Mom, I love you.

تمام ; Fine
1. كيف حالك؟ - تمام، شكرًا ; How are you? - Fine, thanks.
2. هل أنت بخير؟ - نعم، أنا تمام ; Are you okay? - Yes, I'm fine.
3. كيف كان يومك؟ - كان تمامًا ; How was your day? - It was fine.

مجرد ; Just
1. أنا مجرد طفل ; I'm just a child.
2. هل هذا كل شيء؟ - نعم، مجرد ذلك ; Is that all? - Yes, just that.
3. أنا مجرد زائر هنا ; I'm just a visitor here.

فضل ; Favor
1. هل يمكنك أن تفعل لي معروفًا؟ ; Can you do me a favor?
2. أنا ممتن لك على هذا الفضل ; I am grateful for this favor.
3. لم تفعل لي أي فضل ; You didn't do me any favor.

تفضل ; Please
1. تفضل بالدخول ; Please come in.
2. تفضل بشرب قهوة ; Please have some coffee.
3. تفضل هذه الكتب ; Please take these books.

(حمام ; (Bathroom)
1. أين الحمام؟ ; Where is the bathroom?
2. هل يمكنك أن توجهني إلى الحمام؟ ; Can you direct me to the bathroom?
3. أحتاج إلى استخدام الحمام ; I need to use the bathroom.

سباحة) ; (Swimming)
1. هل تحب السباحة؟ ; Do you like swimming?
2. أنا ذاهب إلى حصة السباحة ; I'm going to the swimming class.
3. السباحة ممتعة في الصيف ; Swimming is fun in the summer.

السباحة) ; (Swimming)
1. هل تحب السباحة؟ ; Do you like swimming?
2. أنا ذاهب إلى حصة السباحة ; I'm going to the swimming class.
3. السباحة ممتعة في الصيف ; Swimming is fun in the summer.

أي ; Which
1. أي كتاب تفضل قراءته؟ ; Which book do you prefer to read?
2. أي لون تحب؟ ; Which color do you like?
3. أي يوم تفضل للالتقاء؟ ; Which day do you prefer to meet?

أيه ; What
1. أيه الذي حدث؟ ; What happened?
2. أيه الجديد؟ ; What's new?
3. أيه هذا؟ ; What is this?

أماكن ; Places
1. هل قمت بزيارة أي أماكن جديدة مؤخرًا؟ ; Have you visited any new places recently?
2. هل لديك قائمة بالأماكن التي تود زيارتها؟ ; Do you have a list of places you want to visit?
3. أحب السفر واستكشاف الأماكن الجديدة ; I love traveling and exploring new places.

الأماكن ; The places
1. هذه هي الأماكن التي قمت بزيارتها ; These are the places I visited.
2. الأماكن السياحية في مصر رائعة ; The tourist places in Egypt are wonderful.
3. يجب أن تزور الأماكن التاريخية ; You should visit historical places.

فاض ; Empty
1. الصندوق فاض ; The box is empty.
2. هل يمكنك ملء الكوب لي؟ - آسف، الكوب فاض ; Can you fill the cup for me? - Sorry, the cup is empty.
3. المكان فاضي اليوم ; The place is empty today.

الفاضية ; The empty (feminine)
1. الصفحة الفاضية ; The empty page.
2. الشارع فاضي ; The street is empty.
3. الغرفة فاضية ; The room is empty.

لحد ; Until
1. سأبقى هنا لحد الوصول ; I will stay here until arrival.
2. يجب أن تعمل لحد النجاح ; You should work until you succeed.
3. هل يمكنك الانتظار لحد العصر؟ ; Can you wait until the afternoon?

متى ; When
1. متى ستذهب؟ ; When will you go?
2. متى تستيقظ عادة في الصباح؟ ; When do you usually wake up in the morning?
3. متى سنلتقي مرة أخرى؟ ; When will we meet again?

مفتوح ; Open
1. المحل مفتوح طوال اليوم ; The shop is open all day.
2. هل المكتب مفتوح اليوم؟ ; Is the office open today?
3. المتجر مفتوح حتى الليل ; The store is open until midnight.

جب ; Bring
1. هل يمكنك جلب لي كتابًا؟ ; Can you bring me a book?
2. أريدك أن تجلب الطعام ; I want you to bring the food.
3. جلبت معي الهدية ; I brought the gift with me.

واجبي ; My duty
1. هذا واجبي ; This is my duty.
2. يجب أن أقوم بواجبي ; I must do my duty.
3. أنا ملتزم بواجبي ; I am committed to my duty.

واجب ; Duty
1. ما هو واجبك؟ ; What is your duty?
2. الواجب يأتي أولاً ; Duty comes first.
3. عليك أداء واجبك ; You must fulfill your duty.

غرف ; Rooms
1. هذا الفندق يحتوي على العديد من الغرف ; This hotel has many rooms.
2. هل يمكنك أن تظهر لي الغرفة؟ ; Can you show me the room?
3. لدينا ثلاث غرف في المنزل ; We have three rooms in the house.

الغرفة ; The room
1. هذه هي الغرفة التي سأقيم فيها ; This is the room I will stay in.
2. الغرفة كبيرة ومريحة ; The room is large and comfortable.
3. هل يمكنك تنظيف الغرفة؟ ; Can you clean the room?

ين ; Where
1. ين القط؟ ; Where is the cat?
2. ين يمكنني العثور على مفتاحي؟ ; Where can I find my keys?
3. ين تريد أن تذهب؟ ; Where do you want to go?

فين ; Where (slang)
1. فين راح؟ ; Where did he go?
2. فين الكتب؟ ; Where are the books?
3. فين يمكنني العثور على المطعم؟ ; Where can I find the restaurant?

محتاج ; Need
1. أنا محتاج إلى مزيد من الوقت ; I need more time.
2. هل تحتاج إلى مساعدة؟ ; Do you need help?
3. أنا محتاج للراحة ; I need some rest.

حمام ; Bathroom
1. أحتاج إلى الذهاب إلى الحمام ; I need to go to the bathroom.
2. أين يمكنني العثور على الحمام؟ ; Where can I find the bathroom?
3. الحمام مشغول الآن ; The bathroom is occupied now.

الحمام ; The bathroom
1. هذا هو الحمام ; This is the bathroom.
2. الحمام نظيف جدًا ; The bathroom is very clean.
3. أنا في الحمام الآن ; I'm in the bathroom now.

صبح ; Morning
1. صبح الخير ; Good morning.
2. هل تستيقظ دائمًا في الصباح الباكر؟ ; Do you always wake up early in the morning?
3. أحب أن أمضي وقتي في الصباح بالقراءة ; I love to spend my time in the morning reading.

تصبح ; You become
1. تصبح على خير ; Good night.
2. تصبح على ما تتمناه ; May you become what you wish for.
3. كيف تصبح في الصباح؟ ; How do you become in the morning?

على ; On
1. الكتاب على الطاولة ; The book is on the table.
2. أنا على الهاتف الآن ; I'm on the phone now.
3. القطة على السرير ; The cat is on the bed.

خير ; Good
1. صباح الخير ; Good morning.
2. لديك يوم جيد ; Have a good day.
3. الطعام كان جيدًا جدًا ; The food was very good.

إز ; How
1. إزيك؟ ; How are you?
2. إزاي الأمور؟ ; How are things?
3. إزاي نصل إلى هناك؟ ; How do we get there?

إزيك ; How are you? (slang)
1. إزيك؟ ; How are you?
2. إزيك يا صديقي؟ ; How are you, my friend?
3. إزيك يا حبيبي؟ ; How are you, my love?

ويس ; Okay
1. هل أنت بخير؟ - ويس ; Are you okay? - Okay.
2. هل تستمتع بالوقت؟ - ويس ; Are you enjoying your time? - Okay.
3. هل يمكنك مساعدتي؟ - ويس ; Can you help me? - Okay.

كويس ; Good (slang)
1. كويس يا صديقي؟ ; Are you good, my friend?
2. كويس يعني جيد ; Good means okay.
3. كويس، شكرًا ; Good, thank you.

تس ; You live
1. أين تسكن؟ ; Where do you live?
2. تسكن في القاهرة؟ ; Do you live in Cairo?
3. تسكن مع عائلتك؟ ; Do you live with your family?

بتسكن ; You live (slang)
1. بتسكن فين؟ ; Where do you live?
2. بتسكن مع مين؟ ; Who do you live with?
3. بتسكن في شقة؟ ; Do you live in an apartment?

قاهر ; Cairo
1. أنا أعيش في قاهرة ; I live in Cairo.
2. قاهرة هي عاصمة مصر ; Cairo is the capital of Egypt.
3. قاهرة مدينة كبيرة وحديثة ; Cairo is a big and modern city.

القاهرة ; Cairo
1. أنا أعيش في القاهرة ; I live in Cairo.
2. القاهرة هي عاصمة مصر ; Cairo is the capital of Egypt.
3. القاهرة مدينة حضرية كبيرة ; Cairo is a large urban city.

تشرف ; Nice to meet you
1. تشرفت بلقائك ; Nice to meet you.
2. تشرفت بالتعرف عليك ; Nice to meet you.
3. تشرفت بالتحدث إليك ; Nice to talk to you.

تشرفت ; Nice to meet you
1. تشرفت بلقائك ; Nice to meet you.
2. تشرفت بالتعرف عليك ; Nice to meet you.
3. تشرفت بالتحدث إليك ; Nice to talk to you.

معرف ; Know (slang)
1. أنا معرفش ; I don't know.
2. معرفش ماذا يجب أن أفعل ; I don't know what I should do.
3. معرفش كيف أجيب على هذا ; I don't know how to answer this.

بمعرفتك ; By your knowledge
1. هل يمكنك تفسير ذلك بمعرفتك؟ ; Can you explain that by your knowledge?
2. هل تستطيع مساعدتي بمعرفتك؟ ; Can you help me by your knowledge?
3. أنا أعتمد على معرفتك ; I rely on your knowledge.

إسم ; Name
1. ما هو اسمك؟ ; What is your name?
2. هل يمكنك كتابة اسمك هنا؟ ; Can you write your name here?
3. أحب اسمي كثيرًا ; I really like my name.

إسمك ; Your name
1. ما هو إسمك؟ ; What is your name?
2. إسمك جميل ; Your name is beautiful.
3. هل يمكنني معرفة إسمك؟ ; Can I know your name?

تكلف ; Cost
1. كم تكلف هذه السيارة؟ ; How much does this car cost?
2. هل يمكنك تحديد التكلفة؟ ; Can you specify the cost?
3. التكلفة هي مهمة عند شراء شيء جديد ; Cost is important when buying something new.

تكلفة ; The cost
1. هذه هي تكلفة الخدمة ; This is the cost of the service.
2. يجب على النظام تقليل تكلفة الإنتاج ; The system must reduce the cost of production.
3. تكلفة الحياة تزيد يوما بعد يوم ; The cost of living is increasing day by day.

تذكر ; Remember
1. هل تتذكر اللحظة التي قابلنا فيها؟ ; Do you remember the moment we met?
2. يجب أن تتذكر القواعد ; You should remember the rules.
3. هل يمكنك أن تتذكر ما حدث؟ ; Can you remember what happened?

تذكرة ; Ticket
1. أين تستطيع شراء التذكرة؟ ; Where can you buy the ticket?
2. هل لديك تذكرة الدخول؟ ; Do you have the admission ticket?
3. يجب أن نحجز تذكرة الطائرة مسبقًا ; We should book the airplane ticket in advance.

إلى ; To
1. سأذهب إلى العمل ; I will go to work.
2. هل تستطيع أن تأخذني إلى المطار؟ ; Can you take me to the airport?
3. هل تعرف كيفية الوصول إلى المكتبة؟ ; Do you know how to get to the library?

ام ; Mother
1. أمي تحب الطهي ; My mother loves cooking.
2. أمي هي أفضل شخص في العالم ; My mother is the best person in the world.
3. أمي دائمًا تقدم لي المشورة ; My mother always gives me advice.

كام ; How many
1. كام أخ لديك؟ ; How many brothers do you have?
